Subject,Predicate,Object,Decision,Notes
DatabaseIdentifier,referenceDatabase,ReferenceDatabase,Maybe,Taxonomy to Reference Database; Might be useful if provenance is to be written on the node
InstanceEdit,created,DatabaseIdentifier,Exclude,"provenance are writtien on edges, right now, and if it's necesary to include, we might need to carefully decide which author to include"
ReferenceSequence,crossReference,DatabaseIdentifier,IDMapping/Exclude,Maps protein ref sequences to external DBs
ReferenceDNASequence,referenceDatabase,ReferenceDatabase,IDMapping/Exclude,Maps DNA sequences (genes?) to external DBs. Probably Exclude
ReferenceDNASequence,species,Species,Include,"Relates Genes to Species. Use ""NCBITaxon:""+taxon property to normalize"
InstanceEdit,created,ReferenceDNASequence,Exclude,Manual edits to genes made by Reactome curators
ReferenceSequence,referenceGene,ReferenceDNASequence,Include,Protein(Uniprot) to Gene DNA sequence mapping.
EntityWithAccessionedSequence,compartment,GO_Term,Include,Protein/GeneProduct to GO cellular components. 
EntityWithAccessionedSequence,species,Species,Include,Species to GeneProduct. Could be useful for filtering
InstanceEdit,created,EntityWithAccessionedSequence,Exclude,Manual edits to GeneProducts made by Reactome curators
EntityWithAccessionedSequence,referenceEntity,ReferenceSequence,IDMapping/Include,GeneProduct to Uniprot protein entry.
EntityWithAccessionedSequence,inferredTo,EntityWithAccessionedSequence,Exclude,Interspecies orthologous proteins. Leaning toward exclusion as source of inference is not clear.
Person,author,Publication,Provenance/Exclude,Paper authorship.
InstanceEdit,created,Person,Exclude,Manual edits to authors.
DefinedSet,hasMember,EntityWithAccessionedSequence,Maybe,Describes members of a set of proteins with related structures or functions. Similar to GeneFamily perhaps
Complex,hasComponent,EntityWithAccessionedSequence,Include,Protein complexes to individual gene products. Edges include bond order and stoichiometry (important aspects to capture)
ReferenceRNASequence,referenceDatabase,ReferenceDatabase,Attribute/Exclude,RNA sequences mapping to external DBs
ReferenceRNASequence,species,Species,Include,"MappingRNA sequences to species. Use ""NCBITaxon:""+taxon property to normalize"
InstanceEdit,created,ReferenceRNASequence,Exclude,Manual edits of RNA sequence nodes
ReferenceSequence,referenceTranscript,ReferenceRNASequence,Maybe,RNA sequences to Uniprot entries. Could be useful when RNAs act as enzymes
Person,author,InstanceEdit,Exclude,Tracks who made InstanceEdits within Reactome
Reaction,compartment,GO_Term,Include,Tracks location (GO cellular component) in which ReactionLikeEvents occur
ReferenceSequence,referenceDatabase,ReferenceDatabase,Provenance/Exclude,Just points reference sequences for proteins/DNA to databases from which they were taken
ReferenceSequence,species,Species,Include,"Points Uniprot/Intact GeneProducts to their species of origin. Use ""NCBITaxon:""+taxon property to normalize"
Complex,species,Species,Include,"Links protein complexes to their species. Use ""NCBITaxon:""+taxon property to normalize"
Complex,compartment,GO_Term,Include,Describes localization of protein complex
InstanceEdit,created,Complex,Exclude,Manual edits to protein complexes
Interaction,interactor,ReferenceSequence,Maybe,"Captures proteins involved in protein-protein interactions (represented as a node). May be redundant as we already ingest Intact, but edges include bond order/stoichiometry for the interaction."
EntityWithAccessionedSequence,hasModifiedResidue,AbstractModifiedResidue,Attribute/Include,"Describes protein post-translational modifications (in an abstract sense) that are linked to modified proteins. Describes AA residue and type of modification, so may be useful for histone PTMs. For example, ""N6-acetyl-L-lysine at 9"" is linked to a node representing H4K9ac."
InstanceEdit,created,ReferenceSequence,Exclude,Manual edit
InstanceEdit,modified,ReferenceSequence,Exclude,Manual edit
Complex,inferredTo,Complex,Maybe,Cross-species protein complex orthologs. Not clear how inference is made.
Complex,summation,Summation,Attribute/Include,Summary text for protein complexes. May be useful as a property of complex nodes.
Pathway,hasEvent,Reaction,Include,Important triple. Describes ReactionLikeEvents that take place within a pathway.
Reaction,species,Species,Include,"Describes species where reaction occurs. Use ""NCBITaxon:""+taxon property to normalize."
Reaction,summation,Summation,Attribute/Include,"Summary text for the meaning of a reaction event. Could be modelled as a ""reaction"" node property."
InstanceEdit,created,Reaction,Exclude,Manual Edit
Reaction,inferredTo,Reaction,Maybe,Species-to-species reaction mapping. Not sure if it would be useful.
Reaction,evidenceType,EvidenceType,Provenance/Exclude,"There is only one EvidenceType node in the graph called ""inferred by electronic annotation"". Unlikely to be useful."
Reaction,input,SimpleEntity,Include,"Important triple. Describes small/simple molecules, like ATP/GTP/etc., that are input to reaction events."
Reaction,output,SimpleEntity,Include,"Important triple. Describes small/simple molecules, like ATP/GTP/etc., that are output of reaction events."
Complex,hasComponent,Complex,Include,Describes involvment of smaller protein complexes in larger ones. Good info.
Reaction,precedingEvent,Reaction,Include,A chain of these triples describes that series of key event in biochemical processes/pathways. These could be extremely helpful for increasing detail of pathway knowledge in our graphs.
Interaction,referenceDatabase,ReferenceDatabase,Provenance/Exclude,Describes source database for PPIs. Usually IntAct
InstanceEdit,created,Interaction,Exclude,Manual edit
Reaction,output,Complex,Include,Important triple. Describes protein complexes as the output of reaction events.
