accession,goAnnotation.ontologyTerm.identifier,goAnnotation.ontologyTerm.namespace,goAnnotation.qualifier
CPX:CPX-1015,GO:0000981,molecular_function,biolink:enables
CPX:CPX-1015,GO:0005667,cellular_component,biolink:located_in
CPX:CPX-1015,GO:0042762,biological_process,biolink:actively_involved_in
CPX:CPX-1015,GO:0045944,biological_process,biolink:actively_involved_in
CPX:CPX-1016,GO:0000981,molecular_function,biolink:enables
CPX:CPX-1016,GO:0042762,biological_process,biolink:actively_involved_in
CPX:CPX-1016,GO:0045944,biological_process,biolink:actively_involved_in
CPX:CPX-1016,GO:0089713,cellular_component,biolink:located_in
CPX:CPX-1018,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1018,GO:0045332,biological_process,biolink:actively_involved_in
CPX:CPX-1018,GO:0140326,molecular_function,biolink:enables
CPX:CPX-1018,GO:1990531,cellular_component,biolink:located_in
CPX:CPX-1021,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1021,GO:0045332,biological_process,biolink:actively_involved_in
CPX:CPX-1021,GO:0140326,molecular_function,biolink:enables
CPX:CPX-1021,GO:1990531,cellular_component,biolink:located_in
CPX:CPX-1022,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1022,GO:0045332,biological_process,biolink:actively_involved_in
CPX:CPX-1022,GO:0140326,molecular_function,biolink:enables
CPX:CPX-1022,GO:1990531,cellular_component,biolink:located_in
CPX:CPX-1026,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1026,GO:0045332,biological_process,biolink:actively_involved_in
CPX:CPX-1026,GO:0140326,molecular_function,biolink:enables
CPX:CPX-1026,GO:1990531,cellular_component,biolink:located_in
CPX:CPX-1028,GO:0010008,cellular_component,biolink:located_in
CPX:CPX-1028,GO:0098629,biological_process,biolink:actively_involved_in
CPX:CPX-1028,GO:0140326,molecular_function,biolink:enables
CPX:CPX-1036,GO:0006298,biological_process,biolink:actively_involved_in
CPX:CPX-1036,GO:0030983,molecular_function,biolink:enables
CPX:CPX-1036,GO:0032302,cellular_component,biolink:located_in
CPX:CPX-1037,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1037,GO:0006298,biological_process,biolink:actively_involved_in
CPX:CPX-1037,GO:0016887,molecular_function,biolink:enables
CPX:CPX-1037,GO:0030983,molecular_function,biolink:enables
CPX:CPX-1037,GO:0032301,cellular_component,biolink:located_in
CPX:CPX-1038,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1038,GO:0005667,cellular_component,biolink:located_in
CPX:CPX-1038,GO:0006355,biological_process,biolink:actively_involved_in
CPX:CPX-1038,GO:0006631,biological_process,biolink:actively_involved_in
CPX:CPX-1038,GO:0007031,biological_process,biolink:actively_involved_in
CPX:CPX-1038,GO:0043565,molecular_function,biolink:enables
CPX:CPX-1039,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1039,GO:0006348,None,None
CPX:CPX-1039,GO:0042800,molecular_function,biolink:enables
CPX:CPX-1039,GO:0048188,cellular_component,biolink:located_in
CPX:CPX-1039,GO:0051568,biological_process,biolink:actively_involved_in
CPX:CPX-1040,GO:0003723,molecular_function,biolink:enables
CPX:CPX-1040,GO:0003724,molecular_function,biolink:enables
CPX:CPX-1040,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1040,GO:0006402,biological_process,biolink:actively_involved_in
CPX:CPX-1040,GO:0016887,molecular_function,biolink:enables
CPX:CPX-1040,GO:0034427,biological_process,biolink:actively_involved_in
CPX:CPX-1040,GO:0055087,cellular_component,biolink:located_in
CPX:CPX-1041,GO:0008017,molecular_function,biolink:enables
CPX:CPX-1041,GO:0042729,cellular_component,biolink:located_in
CPX:CPX-1041,GO:0051987,biological_process,biolink:actively_involved_in
CPX:CPX-1041,GO:0072686,cellular_component,biolink:located_in
CPX:CPX-1041,GO:1990758,biological_process,biolink:actively_involved_in
CPX:CPX-1042,GO:0000435,biological_process,biolink:actively_involved_in
CPX:CPX-1042,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1042,GO:0005667,cellular_component,biolink:located_in
CPX:CPX-1042,GO:0006012,biological_process,biolink:actively_involved_in
CPX:CPX-1043,GO:0000435,biological_process,biolink:actively_involved_in
CPX:CPX-1043,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1043,GO:0005667,cellular_component,biolink:located_in
CPX:CPX-1043,GO:0006012,biological_process,biolink:actively_involved_in
CPX:CPX-1044,GO:0000431,biological_process,biolink:actively_involved_in
CPX:CPX-1044,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1044,GO:0006012,biological_process,biolink:actively_involved_in
CPX:CPX-1044,GO:0017053,cellular_component,biolink:located_in
CPX:CPX-1045,GO:0006890,biological_process,biolink:actively_involved_in
CPX:CPX-1045,GO:0030173,cellular_component,biolink:located_in
CPX:CPX-1045,GO:0030176,cellular_component,biolink:located_in
CPX:CPX-1045,GO:0061852,cellular_component,biolink:located_in
CPX:CPX-1047,GO:0008757,molecular_function,biolink:enables
CPX:CPX-1047,GO:0043527,cellular_component,biolink:located_in
CPX:CPX-1047,GO:0070043,molecular_function,biolink:enables
CPX:CPX-1047,GO:0070476,biological_process,biolink:actively_involved_in
CPX:CPX-1047,GO:1904047,molecular_function,biolink:enables
CPX:CPX-1047,GO:1990275,molecular_function,biolink:enables
CPX:CPX-1052,GO:0000049,molecular_function,biolink:enables
CPX:CPX-1052,GO:0002098,biological_process,biolink:actively_involved_in
CPX:CPX-1052,GO:0016300,molecular_function,biolink:enables
CPX:CPX-1052,GO:0043527,cellular_component,biolink:located_in
CPX:CPX-1053,GO:0003723,molecular_function,biolink:enables
CPX:CPX-1053,GO:0004652,molecular_function,biolink:enables
CPX:CPX-1053,GO:0004722,molecular_function,biolink:enables
CPX:CPX-1053,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1053,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1053,GO:0005847,cellular_component,biolink:located_in
CPX:CPX-1053,GO:0006378,biological_process,biolink:actively_involved_in
CPX:CPX-1053,GO:0016892,molecular_function,biolink:enables
CPX:CPX-1053,GO:0030846,biological_process,biolink:actively_involved_in
CPX:CPX-1053,GO:0098789,biological_process,biolink:actively_involved_in
CPX:CPX-1068,GO:0005635,cellular_component,biolink:located_in
CPX:CPX-1068,GO:0005829,cellular_component,biolink:located_in
CPX:CPX-1068,GO:0042564,cellular_component,biolink:located_in
CPX:CPX-1068,GO:0051170,biological_process,biolink:actively_involved_in
CPX:CPX-1068,GO:0061608,molecular_function,biolink:enables
CPX:CPX-1071,GO:0000400,molecular_function,biolink:enables
CPX:CPX-1071,GO:0000724,biological_process,biolink:actively_involved_in
CPX:CPX-1071,GO:0003697,molecular_function,biolink:enables
CPX:CPX-1071,GO:0003917,molecular_function,biolink:enables
CPX:CPX-1071,GO:0009378,molecular_function,biolink:enables
CPX:CPX-1071,GO:0031422,cellular_component,biolink:located_in
CPX:CPX-1071,GO:0043138,molecular_function,biolink:enables
CPX:CPX-1091,GO:0003887,molecular_function,biolink:enables
CPX:CPX-1091,GO:0005739,cellular_component,biolink:located_in
CPX:CPX-1091,GO:0016035,cellular_component,biolink:located_in
CPX:CPX-1091,GO:0042276,biological_process,biolink:actively_involved_in
CPX:CPX-1101,GO:0000500,cellular_component,biolink:located_in
CPX:CPX-1101,GO:0001165,molecular_function,biolink:enables
CPX:CPX-1101,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1101,GO:0042790,biological_process,biolink:actively_involved_in
CPX:CPX-1101,GO:0045943,biological_process,biolink:actively_involved_in
CPX:CPX-1102,GO:0004748,molecular_function,biolink:enables
CPX:CPX-1102,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1102,GO:0005737,cellular_component,biolink:located_in
CPX:CPX-1102,GO:0005971,cellular_component,biolink:located_in
CPX:CPX-1102,GO:0009263,biological_process,biolink:actively_involved_in
CPX:CPX-1103,GO:0004748,molecular_function,biolink:enables
CPX:CPX-1103,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1103,GO:0005737,cellular_component,biolink:located_in
CPX:CPX-1103,GO:0005971,cellular_component,biolink:located_in
CPX:CPX-1103,GO:0009263,biological_process,biolink:actively_involved_in
CPX:CPX-112,GO:0000290,biological_process,biolink:actively_involved_in
CPX:CPX-112,GO:0000932,cellular_component,biolink:located_in
CPX:CPX-112,GO:0003730,molecular_function,biolink:enables
CPX:CPX-1125,GO:0007030,biological_process,biolink:actively_involved_in
CPX:CPX-1125,GO:0033106,cellular_component,biolink:located_in
CPX:CPX-1125,GO:0106103,cellular_component,biolink:located_in
CPX:CPX-1140,GO:0005935,cellular_component,biolink:located_in
CPX:CPX-1140,GO:0016020,cellular_component,biolink:located_in
CPX:CPX-1140,GO:0044697,cellular_component,biolink:located_in
CPX:CPX-1140,GO:1902410,biological_process,biolink:actively_involved_in
CPX:CPX-1141,GO:0005524,molecular_function,biolink:enables
CPX:CPX-1141,GO:0005634,cellular_component,biolink:located_in
CPX:CPX-1141,GO:0005667,cellular_component,biolink:located_in
CPX:CPX-1141,GO:0016887,molecular_function,biolink:enables
