primaryIdentifier,organism.shortName,pathways.identifier,pathways.name,pathways.link
SGD:S000002210,S. cerevisiae,PTWY:PWY3O-6407,phosphatidate biosynthesis I (the dihydroxyacetone pathway),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-6407
SGD:S000002210,S. cerevisiae,PTWY:PWY3O-6499,phosphatidate biosynthesis II (the glycerol-3-phosphate pathway),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-6499
SGD:S000002210,S. cerevisiae,PTWY:PWY3O-6635,superpathway of phosphatidate biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-6635
SGD:S000001105,S. cerevisiae,PTWY:PANTOSYN2-PWY,pantothenate and coenzyme A biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PANTOSYN2-PWY
SGD:S000004578,S. cerevisiae,PTWY:PWY3O-19,ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-19
SGD:S000004578,S. cerevisiae,PTWY:PWY3O-862,superpathway of ubiquinone biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-862
SGD:S000002895,S. cerevisiae,PTWY:YEAST-RIBOSYN-PWY,"riboflavin, FMN and FAD biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=YEAST-RIBOSYN-PWY
SGD:S000002442,S. cerevisiae,PTWY:ALL-CHORISMATE-PWY-1,superpathway of chorismate metabolism,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ALL-CHORISMATE-PWY-1
SGD:S000002442,S. cerevisiae,PTWY:ARO-PWY-1,chorismate biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ARO-PWY-1
SGD:S000002442,S. cerevisiae,PTWY:COMPLETE-ARO-PWY-1,superpathway of aromatic amino acid biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=COMPLETE-ARO-PWY-1
SGD:S000000453,S. cerevisiae,PTWY:ALL-CHORISMATE-PWY-1,superpathway of chorismate metabolism,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ALL-CHORISMATE-PWY-1
SGD:S000000453,S. cerevisiae,PTWY:ARO-PWY-1,chorismate biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ARO-PWY-1
SGD:S000000453,S. cerevisiae,PTWY:COMPLETE-ARO-PWY-1,superpathway of aromatic amino acid biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=COMPLETE-ARO-PWY-1
SGD:S000004595,S. cerevisiae,PTWY:ERGOSTEROL-SYN-PWY-1,superpathway of ergosterol biosynthesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ERGOSTEROL-SYN-PWY-1
SGD:S000004595,S. cerevisiae,PTWY:IPPSYN-PWY,mevalonate pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=IPPSYN-PWY
SGD:S000004595,S. cerevisiae,PTWY:PWY-922,mevalonate pathway I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-922
SGD:S000001717,S. cerevisiae,PTWY:PWY-5177,glutaryl-CoA degradation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-5177
SGD:S000001717,S. cerevisiae,PTWY:YEAST-FAO-PWY,fatty acid oxidation pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=YEAST-FAO-PWY
SGD:S000003786,S. cerevisiae,PTWY:NADSYN-PWY,NAD de novo biosynthesis II (from tryptophan),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=NADSYN-PWY
SGD:S000003786,S. cerevisiae,PTWY:PWY3O-4158,superpathway of NAD biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-4158
SGD:S000003786,S. cerevisiae,PTWY:PWY-5651,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-5651
SGD:S000003786,S. cerevisiae,PTWY:TRYPTOPHAN-DEGRADATION-1,L-tryptophan degradation III (eukaryotic),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=TRYPTOPHAN-DEGRADATION-1
SGD:S000001422,S. cerevisiae,PTWY:YEAST-FAO-PWY,fatty acid oxidation pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=YEAST-FAO-PWY
SGD:S000000469,S. cerevisiae,PTWY:SPHINGOLIPID-SYN-PWY-1,sphingolipid biosynthesis (yeast),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=SPHINGOLIPID-SYN-PWY-1
SGD:S000004090,S. cerevisiae,PTWY:ERGOSTEROL-SYN-PWY-1,superpathway of ergosterol biosynthesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ERGOSTEROL-SYN-PWY-1
SGD:S000004090,S. cerevisiae,PTWY:PWY-6074-1,zymosterol biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6074-1
SGD:S000006371,S. cerevisiae,PTWY:PWY-781,sulfate assimilation pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-781
SGD:S000006371,S. cerevisiae,PTWY:PWY-821-1,superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-821-1
SGD:S000006371,S. cerevisiae,PTWY:SO4ASSIM-PWY,assimilatory sulfate reduction I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=SO4ASSIM-PWY
SGD:S000001336,S. cerevisiae,PTWY:PWY3O-261,superpathway of serine and glycine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-261
SGD:S000001336,S. cerevisiae,PTWY:SERSYN-PWY,L-serine biosynthesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=SERSYN-PWY
SGD:S000000883,S. cerevisiae,PTWY:PWY3O-261,superpathway of serine and glycine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-261
SGD:S000000883,S. cerevisiae,PTWY:SERSYN-PWY,L-serine biosynthesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=SERSYN-PWY
SGD:S000000605,S. cerevisiae,PTWY:GLUCFERMEN-PWY,superpathway of glucose fermentation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCFERMEN-PWY
SGD:S000000605,S. cerevisiae,PTWY:GLUCONEO-PWY-1,gluconeogenesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCONEO-PWY-1
