primaryIdentifier,secondaryIdentifier,symbol,name,sgdAlias,briefDescription,chromosome.primaryIdentifier,chromosomeLocation.start,chromosomeLocation.end,chromosomeLocation.strand,organism.shortName,featureType,gene.link
SGD:S000005390,YOL030W,GAS5,Glycophospholipid-Anchored Surface protein,"1,3-beta-glucanosyltransferase","1,3-beta-glucanosyltransferase",chrXV,268187,269641,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005390
SGD:S000005492,YOL132W,GAS4,Glycophospholipid-Anchored Surface protein,"1,3-beta-glucanosyltransferase","1,3-beta-glucanosyltransferase",chrXV,71300,72715,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005492
SGD:S000004335,YLR343W,GAS2,Glycophospholipid-Anchored Surface protein,"1,3-beta-glucanosyltransferase","1,3-beta-glucanosyltransferase",chrXII,816094,817761,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004335
SGD:S000000979,YER177W,BMH1,Brain Modulosignalin Homolog,14-3-3 family protein BMH1|APR6,"14-3-3 protein, major isoform",chrV,545611,546414,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000979
SGD:S000002506,YDR099W,BMH2,Brain Modulosignalin Homolog,14-3-3 family protein BMH2|SCD3,"14-3-3 protein, minor isoform",chrIV,653607,654428,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002506
SGD:S000006286,YPR082C,DIB1,S. pombe DIm1+ in Budding yeast,SNU16|U4/U6-U5 snRNP complex subunit DIB1,17-kDa component of the U4/U6aU5 tri-snRNP,chrXVI,704225,704656,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000006286
SGD:S000001461,YIR022W,SEC11,SECretory,signal peptidase complex catalytic subunit SEC11,18kDa catalytic subunit of the Signal Peptidase Complex (SPC),chrIX,398733,399236,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001461
SGD:S000006483,YNCL0025C,RDN18-2,?,18S ribosomal RNA|RDN18,18S ribosomal RNA (18S rRNA),chrXII,465070,466869,-1,S. cerevisiae,rRNA gene,https://www.yeastgenome.org/locus/S000006483
SGD:S000006482,YNCL0016C,RDN18-1,?,18S ribosomal RNA|RDN18,18S ribosomal RNA (18S rRNA),chrXII,455933,457732,-1,S. cerevisiae,rRNA gene,https://www.yeastgenome.org/locus/S000006482
SGD:S000007235,YDR363W-A,SEM1,Suppressor of Exocyst Mutations,DSS1|HOD1|proteasome regulatory particle lid subunit SEM1,19S proteasome regulatory particle lid subcomplex component,chrIV,1202128,1202397,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000007235
