name,function,systematicName,allInteractors.participant.symbol,allInteractors.participant.secondaryIdentifier,allInteractors.biologicalRole,allInteractors.stoichiometry,allInteractors.type,identifier,properties,accession,allInteractors.participant.genes.primaryIdentifier,complex.link
MET4-MET28-MET32 sulfur metabolism transcription factor complex,"Transcription factor complex regulating sulfur metabolism. MET4 lacks DNA-binding ability and relies on interactions with MET31 (Q03081) and MET32, paralogous proteins that bind the same cis-regulatory element, to activate its targets. MET31 and MET32 are C2H2 zinc finger-containing proteins that act solely as adaptors for recruiting MET4 to promoters, binding to sites with a TGTGGC core. MET28 acts to stabilise the complex.",MET4:MET28:MET32,Met28p,YIR017C,unspecified role,?,protein,EBI:EBI-13641758,?,CPX-1015,SGD:S000001456,https://www.yeastgenome.org/complex/CPX-1015
MET4-MET28-MET32 sulfur metabolism transcription factor complex,"Transcription factor complex regulating sulfur metabolism. MET4 lacks DNA-binding ability and relies on interactions with MET31 (Q03081) and MET32, paralogous proteins that bind the same cis-regulatory element, to activate its targets. MET31 and MET32 are C2H2 zinc finger-containing proteins that act solely as adaptors for recruiting MET4 to promoters, binding to sites with a TGTGGC core. MET28 acts to stabilise the complex.",MET4:MET28:MET32,Met32p,YDR253C,unspecified role,?,protein,EBI:EBI-13641758,?,CPX-1015,SGD:S000002661,https://www.yeastgenome.org/complex/CPX-1015
MET4-MET28-MET32 sulfur metabolism transcription factor complex,"Transcription factor complex regulating sulfur metabolism. MET4 lacks DNA-binding ability and relies on interactions with MET31 (Q03081) and MET32, paralogous proteins that bind the same cis-regulatory element, to activate its targets. MET31 and MET32 are C2H2 zinc finger-containing proteins that act solely as adaptors for recruiting MET4 to promoters, binding to sites with a TGTGGC core. MET28 acts to stabilise the complex.",MET4:MET28:MET32,Met4p,YNL103W,unspecified role,?,protein,EBI:EBI-13641758,?,CPX-1015,SGD:S000005047,https://www.yeastgenome.org/complex/CPX-1015
CBF1-MET4-MET28 sulfur metabolism transcription factor complex,Transcription factor complex regulating sulfur metabolism. MET4 lacks DNA-binding ability and relies on its interaction with CBF1 to activate its targets. CBF1 is a basic helix?loop?helix factor protein that that homodimerizes to bind a  cis-regulatory element CACGTGA motif and then recruits the transactivator MET4 to promoters. MET28 acts to stabilise the complex.,CBF1:MET4:MET28,Cbf1p,YJR060W,unspecified role,2.0,protein,EBI:EBI-13641784,?,CPX-1016,SGD:S000003821,https://www.yeastgenome.org/complex/CPX-1016
CBF1-MET4-MET28 sulfur metabolism transcription factor complex,Transcription factor complex regulating sulfur metabolism. MET4 lacks DNA-binding ability and relies on its interaction with CBF1 to activate its targets. CBF1 is a basic helix?loop?helix factor protein that that homodimerizes to bind a  cis-regulatory element CACGTGA motif and then recruits the transactivator MET4 to promoters. MET28 acts to stabilise the complex.,CBF1:MET4:MET28,Met28p,YIR017C,unspecified role,?,protein,EBI:EBI-13641784,?,CPX-1016,SGD:S000001456,https://www.yeastgenome.org/complex/CPX-1016
CBF1-MET4-MET28 sulfur metabolism transcription factor complex,Transcription factor complex regulating sulfur metabolism. MET4 lacks DNA-binding ability and relies on its interaction with CBF1 to activate its targets. CBF1 is a basic helix?loop?helix factor protein that that homodimerizes to bind a  cis-regulatory element CACGTGA motif and then recruits the transactivator MET4 to promoters. MET28 acts to stabilise the complex.,CBF1:MET4:MET28,Met4p,YNL103W,unspecified role,?,protein,EBI:EBI-13641784,?,CPX-1016,SGD:S000005047,https://www.yeastgenome.org/complex/CPX-1016
DRS2-CDC50 P4-ATPase complex,"A membrane pump which actively translocates, or flips, phospholipids across cell membranes from the exoplasmic to the cytoplasmic leaflet of the lipid bilayer. This generates and maintains membrane lipid asymmetry, a property essential for a wide variety of cellular processes such as vesicle budding and intracellular vesicle trafficking. Transport is accomplished by cyclic changes between two main enzyme conformations, during which the DRS2 ATPase is phosphorylated by ATP at a conserved aspartate residue (Asp-560) and subsequently dephosphorylated. These processes are coupled to vectorial transport and counter-transport by a controlled opening and closing of cytoplasmic and exoplasmic pathways, which give access to the ion-binding sites that are buried inside the membrane-spanning region of the pump",CDC5:DRS2,Cdc50p,YCR094W,enzyme,?,protein,EBI:EBI-13642652,"The membrane  domain of DRS2 serves as the pathway for translocation of lipid substrates across cell membranes and is predicted to contain 10 transmembrane segments. CDC50 is a membrane glycoprotein and appears to contact DRS2 at multiple sites to promote correct protein folding, exit of the P4-ATPase complex from the endoplasmic reticulum, and formation of a functionally active flippase complex.  ",CPX-1018,SGD:S000000690,https://www.yeastgenome.org/complex/CPX-1018
DRS2-CDC50 P4-ATPase complex,"A membrane pump which actively translocates, or flips, phospholipids across cell membranes from the exoplasmic to the cytoplasmic leaflet of the lipid bilayer. This generates and maintains membrane lipid asymmetry, a property essential for a wide variety of cellular processes such as vesicle budding and intracellular vesicle trafficking. Transport is accomplished by cyclic changes between two main enzyme conformations, during which the DRS2 ATPase is phosphorylated by ATP at a conserved aspartate residue (Asp-560) and subsequently dephosphorylated. These processes are coupled to vectorial transport and counter-transport by a controlled opening and closing of cytoplasmic and exoplasmic pathways, which give access to the ion-binding sites that are buried inside the membrane-spanning region of the pump",CDC5:DRS2,Drs2p,YAL026C,unspecified role,?,protein,EBI:EBI-13642652,"The membrane  domain of DRS2 serves as the pathway for translocation of lipid substrates across cell membranes and is predicted to contain 10 transmembrane segments. CDC50 is a membrane glycoprotein and appears to contact DRS2 at multiple sites to promote correct protein folding, exit of the P4-ATPase complex from the endoplasmic reticulum, and formation of a functionally active flippase complex.  ",CPX-1018,SGD:S000000024,https://www.yeastgenome.org/complex/CPX-1018
DNF1-LEM3 P4-ATPase complex,"A membrane pump which actively translocates, or flips, phospholipids across cell membranes from the exoplasmic to the cytoplasmic leaflet of the lipid bilayer. This generates and maintains membrane lipid asymmetry, a property essential for a wide variety of cellular processes such as vesicle budding and intracellular vesicle trafficking. Transport is accomplished by cyclic changes between two main enzyme conformations, during which the DNF1 ATPase is phosphorylated by ATP at a conserved aspartate residue (Asp-667) and subsequently dephosphorylated. These processes are coupled to vectorial transport and counter-transport by a controlled opening and closing of cytoplasmic and exoplasmic pathways, which give access to the ion-binding sites that are buried inside the membrane-spanning region of the pump. Also involved in transport of the tryptophan permease TAT2 to the plasma membrane.",DNF1:LEM3,Dnf1p,YER166W,unspecified role,?,protein,EBI:EBI-13643362,The membrane  domain of DNF1 serves as the pathway for translocation of lipid substrates across cell membranes and is predicted to contain 10 transmembrane segments. LEM3 is a membrane glycoprotein.  ,CPX-1021,SGD:S000000968,https://www.yeastgenome.org/complex/CPX-1021
DNF1-LEM3 P4-ATPase complex,"A membrane pump which actively translocates, or flips, phospholipids across cell membranes from the exoplasmic to the cytoplasmic leaflet of the lipid bilayer. This generates and maintains membrane lipid asymmetry, a property essential for a wide variety of cellular processes such as vesicle budding and intracellular vesicle trafficking. Transport is accomplished by cyclic changes between two main enzyme conformations, during which the DNF1 ATPase is phosphorylated by ATP at a conserved aspartate residue (Asp-667) and subsequently dephosphorylated. These processes are coupled to vectorial transport and counter-transport by a controlled opening and closing of cytoplasmic and exoplasmic pathways, which give access to the ion-binding sites that are buried inside the membrane-spanning region of the pump. Also involved in transport of the tryptophan permease TAT2 to the plasma membrane.",DNF1:LEM3,Lem3p,YNL323W,enzyme,?,protein,EBI:EBI-13643362,The membrane  domain of DNF1 serves as the pathway for translocation of lipid substrates across cell membranes and is predicted to contain 10 transmembrane segments. LEM3 is a membrane glycoprotein.  ,CPX-1021,SGD:S000005267,https://www.yeastgenome.org/complex/CPX-1021
