lociID,chromosomeID,start,end
LOC:chrI-1-200,chrI,1,200
LOC:chrI-201-400,chrI,201,400
LOC:chrI-401-600,chrI,401,600
LOC:chrI-601-800,chrI,601,800
LOC:chrI-801-1000,chrI,801,1000
LOC:chrI-1001-1200,chrI,1001,1200
LOC:chrI-1201-1400,chrI,1201,1400
LOC:chrI-1401-1600,chrI,1401,1600
LOC:chrI-1601-1800,chrI,1601,1800
LOC:chrI-1801-2000,chrI,1801,2000
LOC:chrI-2001-2200,chrI,2001,2200
LOC:chrI-2201-2400,chrI,2201,2400
LOC:chrI-2401-2600,chrI,2401,2600
LOC:chrI-2601-2800,chrI,2601,2800
LOC:chrI-2801-3000,chrI,2801,3000
LOC:chrI-3001-3200,chrI,3001,3200
LOC:chrI-3201-3400,chrI,3201,3400
LOC:chrI-3401-3600,chrI,3401,3600
LOC:chrI-3601-3800,chrI,3601,3800
LOC:chrI-3801-4000,chrI,3801,4000
LOC:chrI-4001-4200,chrI,4001,4200
LOC:chrI-4201-4400,chrI,4201,4400
LOC:chrI-4401-4600,chrI,4401,4600
LOC:chrI-4601-4800,chrI,4601,4800
LOC:chrI-4801-5000,chrI,4801,5000
LOC:chrI-5001-5200,chrI,5001,5200
LOC:chrI-5201-5400,chrI,5201,5400
LOC:chrI-5401-5600,chrI,5401,5600
LOC:chrI-5601-5800,chrI,5601,5800
LOC:chrI-5801-6000,chrI,5801,6000
LOC:chrI-6001-6200,chrI,6001,6200
LOC:chrI-6201-6400,chrI,6201,6400
LOC:chrI-6401-6600,chrI,6401,6600
LOC:chrI-6601-6800,chrI,6601,6800
LOC:chrI-6801-7000,chrI,6801,7000
LOC:chrI-7001-7200,chrI,7001,7200
LOC:chrI-7201-7400,chrI,7201,7400
LOC:chrI-7401-7600,chrI,7401,7600
LOC:chrI-7601-7800,chrI,7601,7800
LOC:chrI-7801-8000,chrI,7801,8000
LOC:chrI-8001-8200,chrI,8001,8200
LOC:chrI-8201-8400,chrI,8201,8400
LOC:chrI-8401-8600,chrI,8401,8600
LOC:chrI-8601-8800,chrI,8601,8800
LOC:chrI-8801-9000,chrI,8801,9000
LOC:chrI-9001-9200,chrI,9001,9200
LOC:chrI-9201-9400,chrI,9201,9400
LOC:chrI-9401-9600,chrI,9401,9600
LOC:chrI-9601-9800,chrI,9601,9800
LOC:chrI-9801-10000,chrI,9801,10000
LOC:chrI-10001-10200,chrI,10001,10200
LOC:chrI-10201-10400,chrI,10201,10400
LOC:chrI-10401-10600,chrI,10401,10600
LOC:chrI-10601-10800,chrI,10601,10800
LOC:chrI-10801-11000,chrI,10801,11000
LOC:chrI-11001-11200,chrI,11001,11200
LOC:chrI-11201-11400,chrI,11201,11400
LOC:chrI-11401-11600,chrI,11401,11600
LOC:chrI-11601-11800,chrI,11601,11800
LOC:chrI-11801-12000,chrI,11801,12000
LOC:chrI-12001-12200,chrI,12001,12200
LOC:chrI-12201-12400,chrI,12201,12400
LOC:chrI-12401-12600,chrI,12401,12600
LOC:chrI-12601-12800,chrI,12601,12800
LOC:chrI-12801-13000,chrI,12801,13000
LOC:chrI-13001-13200,chrI,13001,13200
LOC:chrI-13201-13400,chrI,13201,13400
LOC:chrI-13401-13600,chrI,13401,13600
LOC:chrI-13601-13800,chrI,13601,13800
LOC:chrI-13801-14000,chrI,13801,14000
LOC:chrI-14001-14200,chrI,14001,14200
